Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,NameASCII,PlayerId,MLBAMID
1986,"Mark Eichhorn","TOR",69,157,166,1.7197452229299364,40.86098416966751,2.3124125787406973,56.21192761510612,-0.5926673558107609,216.59297616804355,44.95424526891543,72.90328725845802,69.17370073787222,180.40968540261719,83.2943303832994,0.19771242,5.264051914215088,4.571971893310547,-0.8345466450859016,10,,32,10,4.9446120262146,"Mark Eichhorn",1003712,113780
2006,"Takashi Saito","LAD",72,78.1,107,2.0680858449390263,46.986878167701754,1.8701515792665457,41.14065201197195,0.1979342656724805,235.03478885275376,30.89603044065084,66.11627686450244,64.59568786032864,206.02492757346255,87.65720313602814,0.27722772,3.944917917251587,2.2198972702026367,0.43468177932879026,24,2,34,8,3.1443612575531006,"Takashi Saito",6021,493416
1985,"Brian Fisher","NYY",55,98.1,85,2.3796607707746325,58.890405734654614,2.3692009039673065,59.190742954432295,0.010459866807325913,185.78731358669316,37.697151788944446,82.81162179223354,78.69810444122736,159.5907191705839,85.89969082148096,0.14322251,2.1757960319519043,2.271846055984497,-0.6168887689324327,14,,29,8,3.0855393409729004,"Brian Fisher",1004077,114160
2006,"Jonathan Papelbon","BOS",59,68.1,75,0.9219516998783688,19.523037058678955,2.136991156169883,48.966961101691815,-1.215039456291514,285.63643519623474,35.08186611844902,61.34382783388423,54.84467025888018,177.13036882713294,62.0125239113141,0.24124514,5.302378177642822,2.6056196689605713,0.004214265849045606,35,6,34,6,3.0785257816314697,"Jonathan Papelbon",5975,449097
2014,"Dellin Betances","NYY",70,90,135,1.4000002373589813,36.42351491621183,1.643363027337114,42.2318881289361,-0.24336278997813277,212.34464964018446,45.040898154976645,59.10704777925425,60.597302548430356,196.27528932817512,92.43241545176045,0.3255132,4.431342124938965,2.650524854660034,0.7900597768094824,1,4,35,7,2.9887475967407227,"Dellin Betances",6216,476454
2011,"Craig Kimbrel","ATL",79,77,127,2.103896103896104,55.827688389998876,1.518892779288354,39.83848161840757,0.58500332460775,170.0411114704537,38.90078812432562,70.77261250978921,79.39510144588297,217.7748032047674,128.0718479089375,0.31045752,1.898257851600647,1.2823338508605957,-0.29742861644080176,46,8,41,10,2.8302667140960693,"Craig Kimbrel",6655,518886
1982,"Steve Bedrosian","ATL",61,122,114,2.2868852459016393,60.687103610985915,2.6018384042333387,69.34164781766728,-0.31495315833169935,129.430039412398,44.27954268797443,76.72987756054998,85.47138248964495,164.3603298549795,126.98777350658685,0.12625251,3.9494259357452393,2.579232692718506,-0.08925840928105577,11,,32,13,2.701533079147339,"Steve Bedrosian",1000766,110786
1977,"Enrique Romo","SEA",55,98.2,92,3.010134979962788,72.78940806369857,2.9204754451838095,67.5834040881618,0.08965953477897859,186.05349849034147,71.27723391553067,85.82967611458598,83.19066201154432,177.8316177803659,95.5809037667326,0.15037594,0.3916480243206024,1.0891427993774414,-0.8338802031464665,16,,25,16,2.5890300273895264,"Enrique Romo",1011175,121427
1980,"Doug Corbett","MIN",73,136.1,89,1.9804401716848872,47.446845020575786,3.0604807426506166,75.6515398722979,-1.0800405709657295,147.65650195968163,56.612870677311555,79.31513302097463,76.21052551580779,140.95399159197416,95.46074793863984,0.08851224,7.578114032745361,3.096839666366577,1.1985138863774596,23,,35,7,2.5768110752105713,"Doug Corbett",1002608,112665
2016,"Seunghwan Oh","STL",76,79.2,103,1.9205025211962343,47.09553771845071,2.1298237539744234,52.614418159133145,-0.20932123277818904,226.3608897653935,50.883111823510795,75.08263906766365,69.04635814339201,154.41845410805365,68.21782140208201,0.2715655,2.514630079269409,2.277130603790283,-0.7905401361533058,19,4,29,12,2.57037091255188,"Seunghwan Oh",18719,493200
1986,"Dan Plesac","MIL",51,91,75,2.9670339620515467,70.33885686104179,2.792989334203877,68.10052742866036,0.17404462784766972,151.84904332931967,48.47403072881699,90.50063245877544,87.51869687705887,132.31927008099663,87.13868395387594,0.12201592,3.6031484603881836,1.4492065906524658,0.7075959065100119,14,,25,10,2.503077745437622,"Dan Plesac",1319,120624
1993,"Greg McMichael","ATL",74,91.2,89,2.0618182390197264,49.595080858454054,2.4210749780891354,58.39941113262474,-0.359256739069409,163.21254467461517,33.94032203142494,78.58052278830895,77.96744808607602,158.781565872321,97.2851447444995,0.16438356,3.218790054321289,1.9955852031707764,0.44468745929374176,19,,30,9,2.4922983646392822,"Greg McMichael",1008640,118825
1995,"Troy Percival","CAL",62,74,94,1.9459469490808792,40.69783415165311,2.7114048535671267,56.858280699736554,-0.7654579044862475,225.94661984980712,67.35277731369746,54.17584172467378,58.050670368568056,215.47959107983402,95.3674748595571,0.23943662,3.71040415763855,2.5686585903167725,0.1412211602899771,3,,32,5,2.414278745651245,"Troy Percival",29,120401
2024,"Cade Smith","CLE",69,70,93,2.057143305564511,51.00193852264504,1.561386178853484,37.133151290391126,0.495757126711027,198.09995927901605,11.045385970393056,81.04221578715642,74.13646432777774,152.2361712255634,76.84816213868146,0.28148148,2.5265445709228516,2.101395606994629,0.1467866585360551,1,2,29,7,2.3515751361846924,"Cade Smith",27867,671922
2009,"Andrew Bailey","OAK",68,83.1,91,1.836000448242297,42.511890757464585,2.557083627471892,59.42424180916635,-0.7210831792295953,187.0943205831772,48.53248555355518,62.56897463393527,62.422617792332346,160.0934645647234,85.5683171947801,0.20743034,2.5857300758361816,2.4979910850524902,-0.642425708737766,26,4,24,6,2.3334481716156006,"Andrew Bailey",1368,457732
1988,"Bryan Harvey","CAL",50,76,67,2.1315789473684212,54.73419020929709,2.5188998699188234,63.68199392261842,-0.3873209225504022,195.48689088683685,55.89670907730241,82.12877471388572,77.2747602230888,154.53427018302682,79.05095802019075,0.15511551,2.497431993484497,1.4734716415405273,-0.16395838969004872,17,,23,10,2.3229658603668213,"Bryan Harvey",1005469,115583
2024,"Mason Miller","OAK",48,57.2,91,2.341040565668914,59.86981078784993,1.9617993591232352,48.376363729110174,0.3792412065456787,173.43556140783437,53.63076648456572,63.31423108371595,67.84029215512258,182.8173375407597,105.40937864730805,0.32727273,3.3068735599517822,1.8492168188095093,-0.048051141439719114,24,2,25,4,2.3132693767547607,"Mason Miller",31757,695243
