Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,mean_rookie_rank,rookie_rank,rk_rel_tc,rk_st_tc,mlb_rank,mean_mlb_rank,mlb_rel_tc,mlb_st_tc,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,rookie_of_the_year,rk_bat_tc,mlb_bat_tc
2014,Dellin Betances,NYY,70,90.0,135,1.4000002373589813,36.42351491621183,1.643363027337114,42.2318881289361,-0.2433627899781327,212.34464964018449,45.040898154976645,59.10704777925425,60.59730254843035,196.27528932817512,92.43241545176043,0.3255132,4.431342124938965,2.650524854660034,0.7900597768094824,2.9887475967407227,476454,2010s,0.033208306630452475,relief,AL,AL,0.9333333333333333,0.9333333333333333,0.6,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,31,1,0,1.0,0.9232549857549858,0,0,betande01,Rookie of the Year,2014.0,AL,27.0,150.0,0.0,0.0,0.18,1,0,0,0
2006,Jonathan Papelbon,BOS,59,68.1,75,0.9219516998783688,19.523037058678955,2.136991156169883,48.966961101691815,-1.215039456291514,285.63643519623474,35.08186611844902,61.34382783388423,54.84467025888018,177.13036882713294,62.0125239113141,0.24124514,5.302378177642822,2.6056196689605713,0.0042142658490456,3.0785257816314697,449097,2000s,0.045205958614265344,closer,AL,AL,1.0,0.9411764705882353,0.8235294117647058,0.9411764705882353,1.0,0.8823529411764706,0.9411764705882353,1.0,0.6470588235294118,0.9411764705882353,1.0,1.0,0.9411764705882353,0.9411764705882353,0.5294117647058824,0.8986928104575165,36,1,0,0.9931972789115646,0.9160997732426305,0,0,papeljo01,Rookie of the Year,2006.0,AL,63.0,140.0,0.0,0.0,0.45,1,0,0,0
1995,Troy Percival,LAA,62,74.0,94,1.9459469490808792,40.69783415165311,2.7114048535671267,56.858280699736554,-0.7654579044862475,225.94661984980712,67.35277731369746,54.17584172467378,58.050670368568056,215.479591079834,95.3674748595571,0.23943662,3.71040415763855,2.5686585903167725,0.1412211602899771,2.414278745651245,120401,1990s,0.03262538845474656,relief,AL,AL,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.9603174603174602,27,1,0,0.990909090909091,0.9148989898989899,0,0,percitr01,Rookie of the Year,1995.0,AL,13.0,140.0,1.0,0.0,0.09285714285714286,1,0,0,0
2006,Takashi Saito,LAD,72,78.1,107,2.0680858449390263,46.986878167701754,1.8701515792665455,41.14065201197195,0.1979342656724805,235.03478885275376,30.89603044065084,66.11627686450244,64.59568786032864,206.02492757346255,87.65720313602814,0.27722772,3.944917917251587,2.2198972702026367,0.4346817793287902,3.1443612575531006,493416,2000s,0.04026070752308708,relief,NL,NL,0.8235294117647058,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.6470588235294118,1.0,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,0.9411764705882353,0.8235294117647058,1.0,0.8235294117647058,0.8709150326797387,35,0,0,0.9795918367346939,0.9143990929705215,0,0,saitota01,Rookie of the Year,2006.0,NL,2.0,160.0,0.0,0.0,0.0125,1,0,0,0
2022,Jhoan Duran,MIN,57,67.2,89,1.8620690354997995,48.44304506738249,2.5212979745204147,63.81074524422344,-0.6592289390206152,200.9339441350828,74.12197579049341,85.07333082186423,77.86581929930709,150.5987481718,74.94938003956516,0.27443609,4.560606002807617,1.5934683084487915,1.2537936760091744,1.5128411054611206,661395,2020s,0.022512516450314293,relief,AL,AL,0.9666666666666667,0.9666666666666667,0.6333333333333333,0.8666666666666667,0.6166666666666667,0.9,1.0,1.0,0.9166666666666666,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9203703703703704,40,0,0,0.9775280898876404,0.8868601747815232,0,0,duranjh01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011,Greg Holland,KCR,46,60.0,74,1.7999997711181932,43.297548952476475,2.2087197229597173,55.38829899099477,-0.4087199518415241,172.88103281049334,45.60101096309385,68.6481152696132,70.4596824262054,175.33236866849623,101.4179340104225,0.2360515,3.1559078693389893,1.7792707681655884,0.4423739606710843,1.7711236476898191,518813,2010s,0.029518727461496985,relief,AL,AL,1.0,0.8846153846153846,0.7692307692307693,1.0,0.8846153846153846,0.8846153846153846,0.9615384615384616,0.9230769230769231,0.6923076923076923,0.7692307692307693,0.9615384615384616,1.0,0.9615384615384616,0.8846153846153846,0.6923076923076923,0.8952991452991453,38,0,0,0.9931972789115646,0.8764172335600907,0,0,hollagr01,Rookie of the Year,2011.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2007,Joakim Soria,KCR,62,69.0,75,2.4782622396840854,54.02302871834582,2.5004742972714835,57.24383905567105,-0.022212057587398,197.20935788773656,38.88826609253617,69.4106728029115,66.72956197950757,163.51018162099237,82.91197836218245,0.20740741,3.8611960411071777,2.19222640991211,-0.0227027289921206,2.129539251327514,465657,2000s,0.030862887700398755,relief,AL,AL,0.85,1.0,0.7,0.95,1.0,0.85,1.0,1.0,0.925,1.0,1.0,1.0,0.95,1.0,0.5,0.9138888888888889,33,0,0,0.9813664596273292,0.8752587991718427,0,0,soriajo01,Rookie of the Year,2007.0,AL,1.0,140.0,0.0,0.0,0.007142857142857143,1,0,0,0
2009,Andrew Bailey,OAK,68,83.1,91,1.836000448242297,42.511890757464585,2.557083627471892,59.42424180916635,-0.7210831792295953,187.0943205831772,48.53248555355518,62.56897463393527,62.422617792332346,160.0934645647234,85.5683171947801,0.20743034,2.5857300758361816,2.4979910850524902,-0.642425708737766,2.3334481716156006,457732,2000s,0.028080002065169685,closer,AL,AL,1.0,1.0,0.8275862068965517,1.0,1.0,0.8620689655172413,1.0,1.0,1.0,0.9310344827586207,0.9655172413793104,1.0,0.9310344827586207,1.0,0.10344827586206896,0.8984674329501916,47,0,0,0.9746835443037974,0.8716596343178622,0,0,bailean01,Rookie of the Year,2009.0,AL,88.0,160.0,13.0,0.0,0.55,1,1,0,0
1993,Greg McMichael,ATL,74,91.2,89,2.0618182390197264,49.595080858454054,2.4210749780891354,58.39941113262474,-0.359256739069409,163.21254467461517,33.94032203142494,78.58052278830895,77.96744808607602,158.781565872321,97.2851447444995,0.16438356,3.218790054321289,1.9955852031707764,0.4446874592937417,2.4922983646392822,118825,1990s,0.027327832945606163,relief,NL,NL,1.0,1.0,0.6363636363636364,1.0,0.8181818181818182,0.7272727272727273,1.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,0.9090909090909091,0.8964646464646463,17,0,0,0.957983193277311,0.8709150326797387,0,0,mcmicgr01,Rookie of the Year,1993.0,NL,40.0,140.0,0.0,0.0,0.2857142857142857,1,0,0,0
2016,Chris Devenski,HOU,43,83.2,83,1.6135463071865088,39.96558484400736,2.13062381905892,50.39077307737714,-0.5170775118724114,261.6573094978229,26.410927337765404,76.0959229506221,61.47390058787025,130.46356588410654,49.86046854751165,0.23355263,1.9161181449890137,2.8659136295318604,-0.0369456122224853,2.130047082901001,606965,2010s,0.025601527438713953,relief,AL,AL,1.0,0.9523809523809523,0.9047619047619048,1.0,0.7619047619047619,0.9523809523809523,0.9047619047619048,0.8095238095238095,1.0,0.7142857142857143,0.9047619047619048,1.0,1.0,0.8571428571428571,0.6190476190476191,0.8531746031746033,32,0,0,0.9863945578231292,0.8624338624338624,0,0,devench02,Rookie of the Year,2016.0,AL,7.0,150.0,0.0,0.0,0.04666666666666667,1,0,0,0
